HMDB	KEGG
HMDB00575	C01817
HMDB00580	C00607
HMDB00586	C00238
HMDB00588	C01330
HMDB00592	C04132
HMDB00593	C00157
HMDB00595	C00288
HMDB00596	C03108
HMDB00598	C00087
HMDB00599	C19368
HMDB00600	C05547
HMDB00606	C01087
HMDB00607	C02823
HMDB00608	C00175
HMDB00609	C00355
HMDB00610	C15441
HMDB00614	C02737
HMDB00617	C01546
HMDB00618	C00117
HMDB00619	C00695
HMDB00620	C02214
HMDB00621	C00309
HMDB00623	C02678
HMDB00624	C03264
HMDB00625	C00257
HMDB00626	C04483
HMDB00629	C00401
HMDB00630	C00380
HMDB00631	C05464
HMDB00632	C00426
HMDB00634	C02226
HMDB00637	C05466
HMDB00638	C02679
HMDB00639	C00879
HMDB00641	C00064
HMDB00643	C05769
HMDB00645	C00446
HMDB00646	C00259
HMDB00648	C01747
HMDB00649	C19654
HMDB00650	C02261
HMDB00652	C00634
HMDB00653	C18043
HMDB00657	C00070
HMDB00658	C02530
HMDB00660	C02336
HMDB00661	C00489
HMDB00662	C00742
HMDB00663	C00818
HMDB00666	C17714
HMDB00669	C05852
HMDB00670	C01924
HMDB00671	C02043
HMDB00672	C19615
HMDB00673	C01595
HMDB00674	C00416
HMDB00675	C01382
HMDB00676	C01817
HMDB00679	C02427
HMDB00684	C00328
HMDB00686	C17662
HMDB00687	C00123
HMDB00691	C00383
HMDB00692	C14818
HMDB00693	C00925
HMDB00694	C03196
HMDB00695	C00233
HMDB00696	C00073
HMDB00698	C15557
HMDB00699	C02918
HMDB00700	C01013
HMDB00703	C01984
HMDB00704	C03975
HMDB00707	C01179
HMDB00710	C00989
HMDB00714	C01586
HMDB00715	C01717
HMDB00716	C00408
HMDB00717	C17658
HMDB00718	C08262
HMDB00719	C00263
HMDB00722	C02592
HMDB00725	C01157
HMDB00731	C05824
HMDB00732	C02794
HMDB00734	C00331
HMDB00735	C05596
HMDB00738	C00463
HMDB00740	C07064
HMDB00742	C05330
HMDB00744	C00711
HMDB00745	C00884
HMDB00748	C05607
HMDB00749	C01732
HMDB00751	C00312
HMDB00755	C03672
HMDB00757	C00182
HMDB00759	C02155
HMDB00761	C03990
HMDB00763	C05635
HMDB00764	C05629
HMDB00765	C00392
HMDB00766	C00624
HMDB00767	C02067
HMDB00770	C01808
HMDB00772	C16535
HMDB00773	C19909
HMDB00779	C01479
HMDB00781	C16265
HMDB00784	C08261
HMDB00785	C04016
HMDB00786	C07599
HMDB00787	C00272
HMDB00788	C01103
HMDB00791	C02838
HMDB00792	C08277
HMDB00796	C04015
HMDB00797	C04823
HMDB00801	C01607
HMDB00802	C00715
HMDB00803	C03878
HMDB00805	C02237
HMDB00806	C06424
HMDB00807	C00597
HMDB00809	C01808
HMDB00811	C15515
HMDB00812	C01042
HMDB00814	C04132
HMDB00816	C00988
HMDB00819	C05589
HMDB00820	C05979
HMDB00821	C05598
HMDB00822	C11527
HMDB00824	C03017
HMDB00826	C16537
HMDB00827	C01530
HMDB00828	C00438
HMDB00830	C06469
HMDB00833	C03410
HMDB00839	C09541
HMDB00840	C07588
HMDB00842	C06325
HMDB00845	C05926
HMDB00847	C01601
HMDB00849	C00507
HMDB00852	C01753
HMDB00853	C05021
HMDB00854	C00439
HMDB00855	C03150
HMDB00856	C15532
HMDB00857	C02656
HMDB00863	C01845
HMDB00866	C01657
HMDB00867	C01685
HMDB00868	C00231
HMDB00870	C00388
HMDB00871	C03238
HMDB00872	C11002
HMDB00873	C06730
HMDB00875	C01004
HMDB00876	C05443
HMDB00878	C01694
HMDB00879	C13713
HMDB00881	C02470
HMDB00883	C00183
HMDB00885	C11251
HMDB00887	C06767
HMDB00892	C00803
HMDB00893	C08278
HMDB00895	C01996
HMDB00896	C05463
HMDB00897	C02242
HMDB00898	C05127
HMDB00899	C00674
HMDB00900	C05441
HMDB00901	C03033
HMDB00902	C00003
HMDB00904	C00327
HMDB00905	C00360
HMDB00906	C00565
HMDB00910	C17076
HMDB00916	C02469
HMDB00917	C17644
HMDB00918	C14641
HMDB00920	C03747
HMDB00921	C00599
HMDB00925	C01104
HMDB00926	C00747
HMDB00929	C00078
HMDB00930	C00423
HMDB00933	C16308
HMDB00934	C04426
HMDB00935	C00167
HMDB00936	C05767
HMDB00937	C05442
HMDB00939	C00021
HMDB00941	C05416
HMDB00943	C01620
HMDB00944	C08281
HMDB00946	C07880
HMDB00947	C17715
HMDB00949	C05472
HMDB00951	C05465
HMDB00954	C01494
HMDB00955	C10470
HMDB00956	C00898
HMDB00957	C00090
HMDB00958	C02341
HMDB00960	C00361
HMDB00961	C00448
HMDB00962	C00248
HMDB00963	C04188
HMDB00965	C00519
HMDB00968	C01220
HMDB00972	C00234
HMDB00973	C01293
HMDB00975	C01083
HMDB00977	C05313
HMDB00978	C01252
HMDB00980	C04895
HMDB00985	C00579
HMDB00988	C01137
HMDB00990	C00084
HMDB00992	C19569
HMDB00994	C03862
HMDB00995	C03207
HMDB00996	C00606
HMDB00998	C00458
HMDB00999	C04640
HMDB01000	C01346
HMDB01003	C00224
HMDB01005	C00603
HMDB01008	C00500
HMDB01010	C00745
HMDB01011	C03460
HMDB01014	C03680
HMDB01015	C03145
HMDB01016	C03492
HMDB01018	C00190
HMDB01020	C02846
HMDB01021	C04348
HMDB01022	C00091
HMDB01023	C11455
HMDB01024	C03232
HMDB01030	C05403
HMDB01031	C00673
HMDB01032	C04555
HMDB01033	C11481
HMDB01035	C02135
HMDB01036	C15848
HMDB01038	C15849
HMDB01039	C01328
HMDB01041	C01033
HMDB01043	C00219
HMDB01044	C00362
HMDB01047	C00665
HMDB01049	C00669
HMDB01050	.
HMDB01051	C02154
HMDB01052	C06000
HMDB01054	C01246
HMDB01056	C00415
HMDB01057	C03231
HMDB01058	C00354
HMDB01058	C05378
HMDB01059	C01272
HMDB01062	C00357
HMDB01063	C05200
HMDB01064	C02050
HMDB01065	C02735
HMDB01066	C03451
HMDB01067	C12270
HMDB01068	C00281
HMDB01070	C01944
HMDB01072	C11378
HMDB01076	C01094
HMDB01078	C00275
HMDB01080	C00555
HMDB01081	C04886
HMDB01083	C06506
HMDB01084	C04092
