HMDB	KEGG
HMDB03364	C00472
HMDB03366	C00479
HMDB03369	C00501
HMDB03371	C00310
HMDB03374	C00515
HMDB03375	C00521
HMDB03377	C00531
HMDB03378	C00533
HMDB03379	C00536
HMDB03391	C00631
HMDB03402	C08348
HMDB03403	C00718
HMDB03404	C00734
HMDB03405	C00739
HMDB03406	C00740
HMDB03407	C00741
HMDB03409	C00757
HMDB03411	C00763
HMDB03416	C00792
HMDB03417	C00793
HMDB03418	C00795
HMDB03419	C00798
HMDB03422	C20144
HMDB03423	C00819
HMDB03424	C00823
HMDB03426	C00831
HMDB03429	C00853
HMDB03431	C00860
HMDB03441	C00903
HMDB03442	C02530
HMDB03447	C00955
HMDB03449	C00962
HMDB03450	C00964
HMDB03453	C00969
HMDB03454	C00971
HMDB03458	C00992
HMDB03459	C00993
HMDB03464	C01035
HMDB03466	C01040
HMDB03470	C01045
HMDB03474	C01060
HMDB03484	C01102
HMDB03498	C01172
HMDB03501	C01197
HMDB03502	C01204
HMDB03503	C01207
HMDB03514	C01231
HMDB03518	C01251
HMDB03529	C01284
HMDB03533	C01301
HMDB03536	C01344
HMDB03537	C01345
HMDB03538	C01353
HMDB03539	C01355
HMDB03540	C01367
HMDB03543	C01412
HMDB03546	C01451
HMDB03550	C01561
HMDB03551	C01563
HMDB03553	C01613
HMDB03555	C02059
HMDB03556	C01674
HMDB03559	C01699
HMDB03563	C01735
HMDB03571	C01832
HMDB03572	C01850
HMDB03573	C01851
HMDB03581	C01909
HMDB03584	C01959
HMDB03585	C01962
HMDB03598	C02075
HMDB03601	C02105
HMDB03603	C02530
HMDB03609	C02218
HMDB03625	C00703
HMDB03633	C02442
HMDB03634	C02452
HMDB03638	C01413
HMDB03640	C02486
HMDB03642	C13884
HMDB03646	C02565
HMDB03647	C02576
HMDB03648	C02588
HMDB03654	C02646
HMDB03656	C02658
HMDB03661	C02723
HMDB03665	C02739
HMDB03667	C02759
HMDB03671	C08380
HMDB03681	C02946
HMDB03701	C03114
HMDB03705	C03166
HMDB03712	C03221
HMDB03745	C03576
HMDB03747	C03582
HMDB03759	C03681
HMDB03767	C03765
HMDB03769	C03772
HMDB03791	C04043
HMDB03797	C04056
HMDB03818	C04295
HMDB03822	C02530
HMDB03826	C04332
HMDB03828	C12661
HMDB03831	C04368
HMDB03834	C04392
HMDB03840	C05172
HMDB03841	C04454
HMDB03848	C04520
HMDB03850	C04549
HMDB03871	C04717
HMDB03873	C04722
HMDB03876	C04742
HMDB03882	C04778
HMDB03896	C05107
HMDB03903	C05123
HMDB03904	C05125
HMDB03905	C05130
HMDB03911	C05145
HMDB03920	C05189
HMDB03929	C05239
HMDB03932	C05258
HMDB03934	C05260
HMDB03935	C05261
HMDB03936	C05262
HMDB03937	C05263
HMDB03938	C05264
HMDB03939	C05265
HMDB03940	C05266
HMDB03941	C05267
HMDB03942	C05268
HMDB03943	C05269
HMDB03944	C05271
HMDB03945	C05272
HMDB03946	C05273
HMDB03948	C05275
HMDB03949	C05276
HMDB03952	C05280
HMDB03955	C05290
HMDB03956	C05291
HMDB03959	C05295
HMDB03966	C05335
HMDB03967	C05338
HMDB03971	C05345
HMDB03974	C05379
HMDB03976	C05385
HMDB03990	C05425
HMDB03993	C05433
HMDB04025	C05484
HMDB04026	C05485
HMDB04029	C05490
HMDB04030	C05497
HMDB04031	C05498
HMDB04035	C05502
HMDB04041	C05519
HMDB04043	C09902
HMDB04045	C05528
HMDB04047	C14143
HMDB04051	C05554
HMDB04058	C05578
HMDB04061	C05583
HMDB04062	C05585
HMDB04063	C05588
HMDB04067	C05604
HMDB04068	C05606
HMDB04072	C05627
HMDB04073	C05634
HMDB04076	C05638
HMDB04077	C05639
HMDB04078	C05640
HMDB04080	C11695
HMDB04081	C05643
HMDB04083	C05645
HMDB04085	C16794
HMDB04086	C05648
HMDB04087	C05201
HMDB04089	C05653
HMDB04094	C05658
HMDB04095	C05659
HMDB04096	C05660
HMDB04101	C05670
HMDB04110	C05682
HMDB04112	C05686
HMDB04113	C05689
HMDB04119	C05698
HMDB04122	C05704
HMDB04135	C05723
HMDB04136	C16884
HMDB04142	C13881
HMDB04148	C13691
HMDB04157	C05789
HMDB04158	C05791
HMDB04159	C05793
HMDB04160	C05794
HMDB04161	C05795
HMDB04162	C05796
HMDB04181	C05827
HMDB04185	C05832
HMDB04186	C05834
HMDB04193	C05842
HMDB04194	C05843
HMDB04195	C05844
HMDB04198	C05850
HMDB04207	C04700
HMDB04215	C05901
HMDB04220	C05921
HMDB04224	C05933
HMDB04225	C03771
HMDB04226	C05936
HMDB04230	C05942
HMDB04231	C05944
HMDB04234	C05949
HMDB04236	C05954
HMDB04238	C05958
HMDB04240	C05960
HMDB04241	C05962
HMDB04242	C05964
HMDB04243	C05965
HMDB04244	C05966
HMDB04246	C00306
HMDB04249	C05981
HMDB04256	C05995
HMDB04257	C02944
HMDB04258	C02041
HMDB04259	C05642
HMDB04264	C14771
HMDB04269	C06021
HMDB04270	C06023
HMDB04284	C06044
HMDB04290	C06051
HMDB04291	C06052
HMDB04296	C01659
HMDB04304	C06080
HMDB04305	C01126
HMDB04309	C06085
HMDB04321	C06099
HMDB04326	C04779
HMDB04327	C06142
HMDB04350	C06180
HMDB04363	C06195
HMDB04366	C06199
HMDB04369	C06212
HMDB04370	C06213
HMDB04381	C06241
HMDB04385	C06314
HMDB04400	C16366
HMDB04437	C06772
HMDB04448	C08357
HMDB04461	C09815
HMDB04472	C09844
HMDB04476	C10126
HMDB04482	C11132
HMDB04483	C11133
HMDB04484	C11136
HMDB04486	C00353
HMDB04487	C11383
HMDB04527	C11555
HMDB04586	C11924
HMDB04601	C11947
HMDB04610	C12144
HMDB04611	C18045
HMDB04628	C06696
HMDB04649	C13309
HMDB04659	C13809
HMDB04662	C14180
HMDB04666	C13856
HMDB04667	C14762
HMDB04668	C14765
HMDB04669	C14766
HMDB04670	C14767
HMDB04673	C14770
HMDB04679	C14776
HMDB04680	C14778
HMDB04682	C14780
HMDB04684	C14782
HMDB04688	C14808
HMDB04690	C14810
HMDB04692	C14812
HMDB04693	C14813
HMDB04694	C14814
HMDB04696	C14820
HMDB04699	C14823
HMDB04701	C14825
HMDB04702	C14826
HMDB04704	C14828
HMDB04705	C14829
HMDB04706	C14831
HMDB04708	C14833
HMDB04710	C14835
HMDB04811	C02625
HMDB04816	C06502
HMDB04825	C04227
HMDB04826	C04548
HMDB04827	C10172
HMDB04832	C06126
HMDB04833	C06126
HMDB04834	C06126
HMDB04835	C06126
HMDB04836	C06126
HMDB04837	C06126
HMDB04838	C06126
HMDB04839	C06126
HMDB04840	C06126
HMDB04841	C06126
HMDB04842	C04730
HMDB04843	C04730
HMDB04844	C04730
HMDB04845	C04730
HMDB04846	C04730
HMDB04847	C04730
HMDB04848	C04730
HMDB04849	C04730
HMDB04850	C04730
HMDB04851	C04730
HMDB04852	C04730
HMDB04853	C04911
HMDB04854	C04911
HMDB04855	C04911
HMDB04856	C04911
HMDB04857	C04911
HMDB04858	C04911
HMDB04859	C04911
HMDB04860	C04911
HMDB04861	C04911
HMDB04863	C04911
HMDB04865	C04911
HMDB04866	C01290
HMDB04872	C01290
HMDB04873	C01290
HMDB04874	C01290
HMDB04876	C01290
HMDB04877	C04737
HMDB04878	C04737
HMDB04879	C04737
HMDB04880	C04737
HMDB04881	C04737
HMDB04882	C04737
HMDB04883	C04737
HMDB04884	C04737
HMDB04886	C04737
HMDB04887	C04737
HMDB04888	C06135
HMDB04889	C06135
HMDB04890	C06135
HMDB04891	C06135
HMDB04892	C06135
HMDB04893	C06135
HMDB04894	C06135
HMDB04895	C06135
HMDB04896	C06135
HMDB04897	C06135
HMDB04898	C06135
HMDB04900	C06136
HMDB04901	C06136
HMDB04902	C06136
HMDB04903	C06136
HMDB04904	C06136
HMDB04905	C06136
HMDB04906	C06136
HMDB04907	C06136
HMDB04908	C06136
HMDB04909	C06136
HMDB04910	C06136
HMDB04911	C06133
HMDB04912	C06133
HMDB04913	C06133
HMDB04914	C06133
HMDB04915	C06133
HMDB04916	C06133
HMDB04917	C06133
HMDB04918	C06133
HMDB04919	C06133
HMDB04920	C06133
HMDB04921	C06133
HMDB04936	C04884
HMDB04937	C04884
HMDB04938	C04884
HMDB04939	C04884
HMDB04940	C01808
HMDB04941	C04884
HMDB04942	C04884
HMDB04943	C04884
HMDB04944	C04884
HMDB04945	C04884
HMDB04946	C04884
HMDB04947	C00195
HMDB04948	C00195
HMDB04949	C00195
HMDB04950	C00195
HMDB04951	C00195
HMDB04952	C00195
HMDB04953	C00195
HMDB04954	C00195
HMDB04955	C00195
HMDB04956	C00195
HMDB04957	C00195
HMDB04958	C03272
HMDB04959	C03272
HMDB04959	C13925
HMDB04960	C03272
HMDB04960	C13925
HMDB04961	C03272
HMDB04961	C13925
HMDB04962	C03272
HMDB04962	C13925
HMDB04963	C03272
HMDB04963	C13925
HMDB04964	C03272
HMDB04964	C13925
HMDB04965	C03272
HMDB04965	C13925
HMDB04966	C03272
HMDB04966	C13925
HMDB04967	C03272
HMDB04967	C13925
HMDB04968	C03272
HMDB04968	C13925
HMDB04969	C01190
HMDB04970	C01190
HMDB04971	C01190
HMDB04972	C01190
HMDB04973	C01190
HMDB04974	C01190
HMDB04975	C01190
HMDB04976	C01190
HMDB04977	C01190
HMDB04979	C01190
HMDB04983	C11142
HMDB04992	C07527
HMDB04995	C06174
HMDB04999	C07080
HMDB05000	C06818
HMDB05004	C11166
HMDB05006	C06834
HMDB05007	C00773
HMDB05008	C01594
HMDB05010	C07246
HMDB05012	C07322
HMDB05014	C07589
HMDB05016	C07187
HMDB05017	C11806
HMDB05018	C06825
HMDB05020	C06861
HMDB05021	C07397
HMDB05022	C01844
HMDB05023	C07219
HMDB05026	C07864
HMDB05030	C06999
HMDB05032	C07778
HMDB05034	C07502
HMDB05035	C07325
HMDB05037	C07319
HMDB05038	C07572
HMDB05039	C07259
HMDB05042	C12564
HMDB05049	C13800
HMDB05050	C14781
HMDB05056	C18166
HMDB05060	C16525
HMDB05079	C14717
HMDB05082	C06315
HMDB05083	C13809
HMDB05084	C11361
HMDB05089	C04853
HMDB05102	C06438
HMDB05175	C05581
HMDB05176	C00381
HMDB05193	C02530
HMDB05199	C09642
HMDB05357	C00422
HMDB05358	C00422
HMDB05359	C00422
HMDB05360	C00422
HMDB05361	C00422
HMDB05362	C00422
HMDB05363	C00422
HMDB05365	C00422
HMDB05366	C00422
HMDB05367	C00422
HMDB05368	C00422
HMDB05369	C00422
HMDB05370	C00422
HMDB05371	C00422
HMDB05372	C00422
HMDB05373	C00422
HMDB05374	C00422
HMDB05375	C00422
HMDB05376	C00422
HMDB05377	C00422
HMDB05378	C00422
HMDB05379	C00422
HMDB05380	C00422
HMDB05381	C00422
HMDB05382	C00422
HMDB05383	C00422
HMDB05384	C00422
HMDB05385	C00422
HMDB05386	C00422
HMDB05387	C00422
HMDB05388	C00422
HMDB05389	C00422
HMDB05390	C00422
HMDB05391	C00422
HMDB05392	C00422
HMDB05393	C00422
HMDB05394	C00422
HMDB05395	C00422
HMDB05396	C00422
HMDB05397	C00422
HMDB05398	C00422
HMDB05399	C00422
HMDB05400	C00422
HMDB05401	C00422
HMDB05402	C00422
HMDB05403	C00422
HMDB05404	C00422
HMDB05405	C00422
HMDB05406	C00422
HMDB05407	C00422
HMDB05408	C00422
HMDB05409	C00422
HMDB05410	C00422
HMDB05411	C00422
HMDB05412	C00422
HMDB05413	C00422
HMDB05414	C00422
HMDB05415	C00422
HMDB05416	C00422
HMDB05418	C00422
HMDB05419	C00422
HMDB05420	C00422
HMDB05421	C00422
HMDB05422	C00422
HMDB05423	C00422
HMDB05424	C00422
HMDB05425	C00422
HMDB05426	C00422
HMDB05427	C00422
HMDB05428	C00422
HMDB05429	C00422
HMDB05430	C00422
HMDB05431	C00422
HMDB05433	C00422
HMDB05434	C00422
HMDB05435	C00422
HMDB05436	C00422
HMDB05437	C00422
HMDB05438	C00422
HMDB05439	C00422
HMDB05440	C00422
HMDB05441	C00422
HMDB05442	C00422
HMDB05443	C00422
HMDB05444	C00422
HMDB05445	C00422
HMDB05446	C00422
HMDB05447	C00422
HMDB05448	C00422
HMDB05449	C00422
HMDB05450	C00422
HMDB05451	C00422
HMDB05452	C00422
HMDB05454	C00422
HMDB05455	C00422
HMDB05456	C00422
HMDB05457	C00422
HMDB05458	C00422
HMDB05459	C00422
HMDB05460	C00422
HMDB05461	C00422
HMDB05462	C00422
HMDB05463	C00422
HMDB05464	C00422
HMDB05465	C00422
HMDB05466	C00422
HMDB05467	C00422
HMDB05468	C00422
HMDB05469	C00422
HMDB05470	C00422
HMDB05471	C00422
HMDB05472	C00422
HMDB05473	C00422
HMDB05474	C00422
HMDB05475	C00422
HMDB05476	C00422
HMDB05478	C00422
HMDB05763	C03958
HMDB05768	C02993
HMDB05779	C00350
HMDB05780	C00350
HMDB05781	C14536
HMDB05782	C01709
HMDB05783	C10462
HMDB05790	C10219
HMDB05794	C00389
HMDB05797	C08726
HMDB05799	C12630
HMDB05800	C01514
HMDB05801	C05903
HMDB05802	C10469
HMDB05805	C06575
HMDB05806	C09900
HMDB05807	C01424
HMDB05808	C00858
HMDB05809	C10453
HMDB05810	C05631
HMDB05811	C09732
HMDB05812	C09871
HMDB05814	C08157
HMDB05826	C01235
HMDB05831	C00644
HMDB05843	C19317
HMDB05849	C14210
HMDB05874	C17079
HMDB05879	C08371
HMDB05896	C14209
HMDB05897	C14458
HMDB05949	C15473
HMDB05971	C04575
HMDB05972	C14594
HMDB05973	C08302
HMDB05994	C02373
HMDB05998	C14748
HMDB06006	C14710
HMDB06007	C07328
HMDB06026	D05204
HMDB06027	C14665
HMDB06031	C14552
HMDB06032	C04437
HMDB06036	D04947
HMDB06040	C04153
HMDB06048	C14475
HMDB06049	C06501
HMDB06055	C01015
HMDB06059	C05950
HMDB06061	C05595
HMDB06088	C06153
HMDB06112	C19440
HMDB06115	C00193
HMDB06203	C03033
HMDB06211	C04640
HMDB06213	C02917
HMDB06216	C00899
HMDB06217	C16682
HMDB06218	C16681
HMDB06219	D00348
HMDB06221	C19962
HMDB06224	C03033
HMDB06229	C11526
HMDB06234	C04062
HMDB06235	C04063
HMDB06236	C00601
HMDB06240	C13008
HMDB06242	C05577
HMDB06243	C16168
HMDB06247	C15519
HMDB06248	C03740
HMDB06254	C16677
HMDB06259	C14497
HMDB06260	C16374
HMDB06268	C06241
HMDB06271	C05437
HMDB06272	C01110
HMDB06273	C04751
HMDB06275	C13690
HMDB06280	C15520
HMDB06281	C06341
HMDB06283	C05500
HMDB06284	C03283
HMDB06285	C16678
HMDB06290	C16162
HMDB06292	C05337
HMDB06293	C02045
HMDB06316	C00541
HMDB06327	C14153
HMDB06330	C00636
HMDB06331	C02480
HMDB06334	C00618
HMDB06335	C14152
HMDB06336	C03246
HMDB06343	C05699
HMDB06344	C04148
HMDB06345	C01011
HMDB06348	C12449
HMDB06353	C00110
HMDB06354	C03319
HMDB06355	C02670
HMDB06357	C04225
HMDB06368	C03035
HMDB06369	C06192
HMDB06402	C05259
HMDB06403	C12450
HMDB06404	C05274
HMDB06406	C12448
HMDB06407	C05172
HMDB06454	C03508
HMDB06456	C04133
HMDB06458	C00937
HMDB06465	C06462
HMDB06467	C02949
HMDB06471	C04593
HMDB06478	C07329
HMDB06482	C03640
HMDB06483	C00402
HMDB06485	C03204
HMDB06488	C01250
HMDB06498	C16216
HMDB06500	C07711
HMDB06503	C00582
HMDB06511	C04575
HMDB06513	C16173
HMDB06516	C16171
HMDB06519	C16163
HMDB06523	C02249
HMDB06524	C02938
HMDB06525	C09880
HMDB06526	C16529
HMDB06528	C16513
HMDB06529	C16218
HMDB06530	C11945
HMDB06540	C11946
HMDB06543	C13650
HMDB06547	C16300
HMDB06548	C10858
HMDB06552	C06800
HMDB06555	C06196
HMDB06556	C05938
HMDB06557	C00498
HMDB06558	C19586
HMDB06566	C06371
HMDB06575	C06372
HMDB06591	C00203
HMDB06622	G01889
HMDB06628	G02993
HMDB06707	C01967
HMDB06709	C00399
HMDB06726	C02530
HMDB06727	C02530
HMDB06728	C02530
HMDB06729	C02530
HMDB06731	C02530
HMDB06733	C02530
HMDB06734	C02530
HMDB06736	C02530
HMDB06737	C02530
HMDB06738	C02530
HMDB06740	C02530
HMDB06744	C05381
HMDB06750	C01290
HMDB06752	C12126
HMDB06753	C05474
HMDB06754	C05473
HMDB06755	C05478
HMDB06756	C05477
HMDB06757	C05475
HMDB06758	C05469
HMDB06759	C05480
HMDB06760	C05489
HMDB06762	C05487
HMDB06763	C05501
HMDB06764	C05499
HMDB06765	C11131
HMDB06766	C05504
HMDB06768	C05297
HMDB06769	C05294
HMDB06770	C05293
HMDB06771	C05296
HMDB06772	C05285
HMDB06773	C05284
HMDB06774	C05140
HMDB06779	C05579
HMDB06789	C05396
HMDB06790	C05401
HMDB06791	C05399
HMDB06792	C05400
HMDB06794	C05655
HMDB06796	C06198
HMDB06797	C02888
HMDB06798	C02492
HMDB06800	C03267
HMDB06801	C06054
HMDB06802	C06055
HMDB06803	C05985
HMDB06804	C00804
HMDB06805	C02335
HMDB06806	C05983
HMDB06807	C05668
HMDB06809	C05841
HMDB06814	C04006
HMDB06816	C13425
HMDB06817	C05802
HMDB06818	C05803
HMDB06819	C05804
HMDB06820	C05805
HMDB06821	C05923
HMDB06822	C05922
HMDB06823	C06148
HMDB06824	C05925
HMDB06825	C03541
HMDB06826	C03541
HMDB06831	C05543
HMDB06832	C06157
HMDB06833	C00900
HMDB06834	C04079
HMDB06836	C06083
HMDB06838	C15816
HMDB06839	C05109
HMDB06840	C15915
HMDB06841	C03845
HMDB06842	C05439
HMDB06845	C15776
HMDB06846	C11522
HMDB06847	C15777
HMDB06848	C15780
HMDB06849	C15781
HMDB06851	C15782
HMDB06852	C15783
HMDB06853	C06145
HMDB06855	C06010
HMDB06857	C00721
HMDB06865	C15974
HMDB06866	C15976
HMDB06867	C05119
HMDB06868	C04424
HMDB06869	C05118
HMDB06870	C05998
HMDB06872	C03785
HMDB06873	C01097
HMDB06875	C03564
HMDB06876	C02097
HMDB06878	C16255
HMDB06880	C05993
HMDB06886	C05458
HMDB06887	C05453
HMDB06888	C05468
HMDB06889	C05460
HMDB06890	C05450
HMDB06891	C05467
HMDB06892	C05451
HMDB06893	C05452
HMDB06894	C05445
HMDB06895	C05447
HMDB06896	C05449
HMDB06898	C05462
HMDB06900	C06006
HMDB06901	C15670
HMDB06902	C05774
HMDB06903	C06508
HMDB06904	C06505
HMDB06915	C05350
HMDB06921	C05202
HMDB06927	C15808
HMDB06928	C11508
HMDB06938	C01146
HMDB06940	C14827
HMDB06941	C05560
HMDB06944	C00760
HMDB06953	C01194
HMDB06954	C06050
HMDB06955	C04604
HMDB06961	C05235
HMDB07008	C16667
HMDB07098	C00165
HMDB07099	C00165
HMDB07100	C00165
HMDB07101	C00165
HMDB07102	C13861
HMDB07103	C00165
HMDB07107	C00165
HMDB07108	C00165
HMDB07112	C00165
HMDB07128	C00165
HMDB07129	C00165
HMDB07131	C00165
HMDB07132	C00165
HMDB07136	C00165
HMDB07137	C00165
HMDB07141	C00165
HMDB07156	C00165
HMDB07158	C00165
HMDB07160	C00165
HMDB07161	C00165
HMDB07165	C00165
HMDB07166	C00165
HMDB07170	C00165
HMDB07214	C00165
HMDB07218	C00165
HMDB07219	C00165
HMDB07223	C00165
HMDB07224	C00165
HMDB07228	C00165
HMDB07248	C00165
HMDB07252	C00165
HMDB07253	C00165
HMDB07257	C00165
HMDB07368	C00165
HMDB07369	C00165
HMDB07373	C00165
HMDB07398	C00165
HMDB07402	C00165
HMDB07518	C00165
HMDB07849	C00416
HMDB07850	C00416
HMDB07851	C00416
HMDB07852	C00416
HMDB07853	C00416
HMDB07854	C00416
HMDB07855	C00416
HMDB07856	C00416
HMDB07858	C00416
HMDB07859	C00416
HMDB07860	C00416
HMDB07861	C00416
HMDB07862	C00416
HMDB07863	C00416
HMDB07864	C00416
HMDB07865	C00416
HMDB07866	C00157
HMDB07867	C00157
HMDB07868	C00157
HMDB07869	C00157
HMDB07870	C00157
HMDB07871	C00157
HMDB07872	C00157
HMDB07873	C00157
HMDB07874	C00157
HMDB07875	C00157
HMDB07876	C00157
HMDB07877	C00157
HMDB07878	C00157
HMDB07879	C00157
HMDB07880	C00157
HMDB07881	C00157
HMDB07882	C00157
HMDB07883	C00157
HMDB07884	C00157
HMDB07885	C00157
HMDB07886	C00157
HMDB07887	C00157
HMDB07888	C00157
HMDB07889	C00157
HMDB07890	C00157
HMDB07891	C00157
HMDB07892	C00157
HMDB07893	C00157
HMDB07894	C00157
HMDB07895	C00157
HMDB07896	C00157
HMDB07897	C00157
HMDB07898	C00157
HMDB07899	C00157
HMDB07900	C00157
HMDB07901	C00157
HMDB07902	C00157
HMDB07903	C00157
HMDB07904	C00157
HMDB07905	C00157
HMDB07906	C00157
HMDB07907	C00157
HMDB07908	C00157
HMDB07909	C00157
HMDB07910	C00157
HMDB07911	C00157
HMDB07912	C00157
HMDB07913	C00157
HMDB07914	C00157
HMDB07915	C00157
HMDB07916	C00157
HMDB07917	C00157
HMDB07918	C00157
HMDB07919	C00157
HMDB07920	C00157
HMDB07921	C00157
HMDB07922	C00157
HMDB07923	C00157
HMDB07924	C00157
HMDB07925	C00157
HMDB07926	C00157
HMDB07927	C00157
HMDB07928	C00157
HMDB07929	C00157
HMDB07930	C00157
HMDB07931	C00157
HMDB07932	C00157
HMDB07933	C00157
HMDB07934	C00157
HMDB07935	C00157
HMDB07936	C00157
HMDB07937	C00157
HMDB07938	C00157
HMDB07939	C00157
HMDB07940	C00157
HMDB07941	C00157
HMDB07942	C00157
HMDB07943	C00157
HMDB07944	C00157
HMDB07945	C00157
HMDB07946	C00157
HMDB07947	C00157
HMDB07948	C00157
HMDB07949	C00157
HMDB07950	C00157
HMDB07951	C00157
HMDB07952	C00157
HMDB07953	C00157
HMDB07954	C00157
HMDB07955	C00157
HMDB07956	C00157
HMDB07957	C00157
HMDB07958	C00157
HMDB07959	C00157
HMDB07960	C00157
HMDB07961	C00157
HMDB07962	C00157
HMDB07963	C00157
HMDB07964	C00157
HMDB07965	C00157
HMDB07966	C00157
HMDB07967	C00157
HMDB07969	C00157
HMDB07970	C00157
HMDB07971	C00157
HMDB07972	C00157
HMDB07973	C00157
HMDB07974	C00157
HMDB07975	C00157
HMDB07976	C00157
HMDB07977	C00157
HMDB07978	C00157
HMDB07979	C00157
HMDB07980	C00157
HMDB07981	C00157
HMDB07982	C00157
HMDB07983	C00157
HMDB07984	C00157
HMDB07985	C00157
HMDB07986	C00157
HMDB07987	C00157
HMDB07988	C00157
HMDB07989	C00157
HMDB07990	C00157
HMDB07991	C00157
HMDB07992	C00157
HMDB07993	C00157
HMDB07994	C00157
HMDB07995	C00157
HMDB07996	C00157
HMDB07997	C00157
HMDB07998	C00157
HMDB07999	C00157
HMDB08000	C00157
HMDB08001	C00157
HMDB08002	C00157
HMDB08003	C00157
HMDB08004	C00157
HMDB08005	C00157
HMDB08006	C00157
HMDB08007	C00157
HMDB08008	C00157
HMDB08009	C00157
HMDB08010	C00157
HMDB08011	C00157
HMDB08012	C00157
HMDB08013	C00157
HMDB08014	C00157
HMDB08015	C00157
HMDB08016	C00157
HMDB08017	C00157
HMDB08018	C00157
HMDB08019	C00157
HMDB08020	C00157
HMDB08021	C00157
HMDB08022	C00157
HMDB08023	C00157
HMDB08024	C00157
HMDB08025	C00157
HMDB08026	C00157
HMDB08027	C00157
HMDB08028	C00157
HMDB08029	C00157
HMDB08030	C00157
HMDB08031	C00157
HMDB08032	C00157
HMDB08033	C00157
HMDB08034	C00157
HMDB08035	C00157
HMDB08036	C00157
HMDB08037	C00157
HMDB08038	C00157
HMDB08039	C00157
HMDB08040	C00157
HMDB08041	C00157
HMDB08042	C00157
HMDB08043	C00157
HMDB08044	C00157
HMDB08045	C00157
HMDB08046	C00157
HMDB08047	C00157
HMDB08048	C00157
HMDB08049	C00157
HMDB08050	C00157
HMDB08051	C00157
HMDB08052	C00157
HMDB08053	C00157
HMDB08054	C00157
HMDB08055	C00157
HMDB08056	C00157
HMDB08057	C00157
HMDB08058	C00157
HMDB08059	C00157
HMDB08060	C00157
HMDB08061	C00157
HMDB08062	C00157
HMDB08063	C00157
HMDB08064	C00157
HMDB08065	C00157
HMDB08066	C00157
HMDB08067	C00157
HMDB08068	C00157
HMDB08069	C00157
HMDB08070	C00157
HMDB08071	C00157
HMDB08072	C00157
HMDB08073	C00157
HMDB08074	C00157
HMDB08075	C00157
HMDB08076	C00157
HMDB08077	C00157
HMDB08078	C00157
HMDB08079	C00157
HMDB08080	C00157
HMDB08081	C00157
HMDB08082	C00157
HMDB08083	C00157
HMDB08084	C00157
HMDB08085	C00157
HMDB08086	C00157
HMDB08087	C00157
HMDB08088	C00157
HMDB08089	C00157
HMDB08090	C00157
HMDB08091	C00157
HMDB08092	C00157
HMDB08093	C00157
HMDB08094	C00157
HMDB08095	C00157
HMDB08096	C00157
HMDB08097	C00157
HMDB08098	C00157
HMDB08099	C00157
HMDB08100	C00157
HMDB08101	C00157
HMDB08102	C00157
HMDB08103	C00157
HMDB08105	C00157
HMDB08106	C00157
HMDB08107	C00157
HMDB08108	C00157
HMDB08109	C00157
HMDB08110	C00157
HMDB08111	C00157
HMDB08112	C00157
HMDB08113	C00157
HMDB08114	C00157
HMDB08115	C00157
HMDB08116	C00157
HMDB08117	C00157
HMDB08118	C00157
HMDB08119	C00157
HMDB08120	C00157
HMDB08121	C00157
HMDB08122	C00157
HMDB08123	C00157
HMDB08124	C00157
HMDB08125	C00157
HMDB08126	C00157
HMDB08127	C00157
HMDB08128	C00157
HMDB08129	C00157
HMDB08130	C00157
HMDB08131	C00157
HMDB08132	C00157
HMDB08133	C00157
HMDB08134	C00157
HMDB08135	C00157
HMDB08136	C00157
HMDB08137	C00157
HMDB08138	C00157
HMDB08139	C00157
HMDB08140	C00157
HMDB08141	C00157
HMDB08142	C00157
HMDB08143	C00157
HMDB08144	C00157
HMDB08145	C00157
HMDB08146	C00157
HMDB08147	C00157
HMDB08148	C00157
HMDB08149	C00157
HMDB08150	C00157
HMDB08151	C00157
HMDB08152	C00157
HMDB08153	C00157
HMDB08154	C00157
HMDB08155	C00157
HMDB08156	C00157
HMDB08157	C00157
HMDB08158	C00157
HMDB08159	C00157
HMDB08160	C00157
HMDB08161	C00157
HMDB08162	C00157
HMDB08163	C00157
HMDB08164	C00157
HMDB08165	C00157
HMDB08166	C00157
HMDB08167	C00157
HMDB08168	C00157
HMDB08169	C00157
HMDB08170	C00157
HMDB08171	C00157
HMDB08172	C00157
HMDB08173	C00157
HMDB08174	C00157
HMDB08175	C00157
HMDB08176	C00157
HMDB08177	C00157
HMDB08178	C00157
HMDB08179	C00157
HMDB08180	C00157
HMDB08181	C00157
HMDB08182	C00157
HMDB08183	C00157
HMDB08184	C00157
HMDB08185	C00157
HMDB08186	C00157
HMDB08187	C00157
HMDB08188	C00157
HMDB08189	C00157
HMDB08190	C00157
HMDB08191	C00157
HMDB08192	C00157
HMDB08193	C00157
HMDB08194	C00157
HMDB08195	C00157
HMDB08196	C00157
HMDB08197	C00157
HMDB08198	C00157
HMDB08199	C00157
HMDB08200	C00157
HMDB08201	C00157
HMDB08202	C00157
HMDB08203	C00157
HMDB08204	C00157
HMDB08205	C00157
HMDB08206	C00157
HMDB08207	C00157
HMDB08208	C00157
HMDB08209	C00157
HMDB08210	C00157
HMDB08211	C00157
HMDB08212	C00157
HMDB08213	C00157
HMDB08214	C00157
HMDB08215	C00157
HMDB08216	C00157
HMDB08217	C00157
HMDB08218	C00157
HMDB08219	C00157
HMDB08220	C00157
HMDB08221	C00157
