R-MMU-110311	Rpa1	n/a
R-MMU-110311	Rpa2	n/a
R-MMU-110311	Rpa3	n/a
R-MMU-110317	Pcna	n/a
R-MMU-110317	Polh	n/a
R-MMU-110317	Rfc1	n/a
R-MMU-110317	Rfc2	n/a
R-MMU-110317	Rfc3	n/a
R-MMU-110317	Rfc4	n/a
R-MMU-110317	Rfc5	n/a
R-MMU-110317	Rpa1	n/a
R-MMU-110317	Rpa2	n/a
R-MMU-110317	Rpa3	n/a
R-MMU-110319	Pcna	n/a
R-MMU-110319	Polh	n/a
R-MMU-110319	Rfc1	n/a
R-MMU-110319	Rfc2	n/a
R-MMU-110319	Rfc3	n/a
R-MMU-110319	Rfc4	n/a
R-MMU-110319	Rfc5	n/a
R-MMU-110319	Rpa1	n/a
R-MMU-110319	Rpa2	n/a
R-MMU-110319	Rpa3	n/a
R-MMU-110359	Apex1	n/a
R-MMU-110368	Apex1	n/a
R-MMU-110368	Fen1	n/a
R-MMU-110368	Pcna	n/a
R-MMU-110368	Pold1	n/a
R-MMU-110368	Pold2	n/a
R-MMU-110368	Pold3	n/a
R-MMU-110368	Pold4	n/a
R-MMU-110368	Pole	n/a
R-MMU-110368	Pole2	n/a
R-MMU-110368	Pole3	n/a
R-MMU-110368	Pole4	n/a
R-MMU-110368	Rfc1	n/a
R-MMU-110368	Rfc2	n/a
R-MMU-110368	Rfc3	n/a
R-MMU-110368	Rfc4	n/a
R-MMU-110368	Rfc5	n/a
R-MMU-110368	Rpa1	n/a
R-MMU-110368	Rpa2	n/a
R-MMU-110368	Rpa3	n/a
R-MMU-110375	Apex1	n/a
R-MMU-110375	C00934	n/a
R-MMU-110375	Polb	n/a
R-MMU-111215	C00117	n/a
R-MMU-111215	C00119	n/a
R-MMU-111215	Prps1	n/a
R-MMU-111215	Prps1l3	n/a
R-MMU-111253	Apex1	n/a
R-MMU-111253	Polb	n/a
R-MMU-1112602	Il6ra	n/a
R-MMU-1112602	Il6st	n/a
R-MMU-1112602	Jak1	n/a
R-MMU-1112602	Jak2	n/a
R-MMU-1112602	Socs3	-0.1
R-MMU-1112602	Stat1	n/a
R-MMU-1112602	Stat3	-0.1
R-MMU-1112602	Tyk2	n/a
R-MMU-1112666	C01245	n/a
R-MMU-1112666	C04637	n/a
R-MMU-1112666	C05981	n/a
R-MMU-1112666	Grb2	n/a
R-MMU-1112666	Nck1	n/a
R-MMU-1112666	Plcg2	n/a
R-MMU-1112666	Sh3kbp1	n/a
R-MMU-1112666	Sos1	n/a
R-MMU-1112666	Syk	n/a
R-MMU-1112703	Il6ra	n/a
R-MMU-1112703	Il6st	n/a
R-MMU-1112703	Jak1	n/a
R-MMU-1112703	Jak2	n/a
R-MMU-1112703	Ptpn11	n/a
R-MMU-1112703	Tyk2	n/a
R-MMU-111519	Adss	n/a
R-MMU-111519	C00049	n/a
R-MMU-111519	C00354	n/a
R-MMU-111519	C03794	n/a
R-MMU-111524	Adss	n/a
R-MMU-111524	C00049	n/a
R-MMU-111524	C00354	n/a
R-MMU-111524	C03794	n/a
R-MMU-111742	C00023	n/a
R-MMU-111742	Glrx	n/a
R-MMU-111742	Rrm1	n/a
R-MMU-111742	Rrm2	n/a
R-MMU-111746	C00051	n/a
R-MMU-111746	C00127	n/a
R-MMU-111746	Glrx	n/a
R-MMU-111751	C00023	n/a
R-MMU-111751	Rrm1	n/a
R-MMU-111751	Rrm2	n/a
R-MMU-111751	Txn1	n/a
R-MMU-111804	C00023	n/a
R-MMU-111804	Rrm1	n/a
R-MMU-111804	Rrm2b	n/a
R-MMU-111804	Txn1	n/a
R-MMU-111879	C00165	n/a
R-MMU-111879	C01245	n/a
R-MMU-111879	C04637	n/a
R-MMU-111879	Gnai1	n/a
R-MMU-111879	Gnai2	n/a
R-MMU-111879	Gnai3	n/a
R-MMU-111879	Gnaz	n/a
R-MMU-111879	Plcb3	n/a
R-MMU-111879	Plcb4	n/a
R-MMU-111883	C00157	n/a
R-MMU-111883	Pla2g4a	n/a
R-MMU-111898	Mapk1	n/a
R-MMU-111898	Pla2g4a	n/a
R-MMU-111915	Calm1	n/a
R-MMU-111930	Adcy1	n/a
R-MMU-111930	Adcy2	n/a
R-MMU-111930	Adcy3	n/a
R-MMU-111930	Adcy6	n/a
R-MMU-111930	Adcy7	n/a
R-MMU-111930	Adcy9	n/a
R-MMU-111930	C00575	n/a
R-MMU-111930	Calm1	n/a
R-MMU-111955	C00575	n/a
R-MMU-111955	Pde1b	n/a
R-MMU-111962	C00575	n/a
R-MMU-111962	Pde4a	n/a
R-MMU-111962	Pde4b	n/a
R-MMU-111962	Pde4d	n/a
R-MMU-111970	Prkca	n/a
R-MMU-111970	Prkcd	n/a
R-MMU-111970	Prkcg	n/a
R-MMU-112265	C00106	n/a
R-MMU-112265	C00178	n/a
R-MMU-112265	C00214	n/a
R-MMU-112265	C00526	n/a
R-MMU-112265	Tymp	n/a
R-MMU-112342	Cdk1	n/a
R-MMU-112342	Map2k1	n/a
R-MMU-112381	Aff4	n/a
R-MMU-112381	Ccnk	n/a
R-MMU-112381	Ccnt1	n/a
R-MMU-112381	Ccnt2	n/a
R-MMU-112381	Cdk9	n/a
R-MMU-112381	Ctdp1	n/a
R-MMU-112381	Eaf1	n/a
R-MMU-112381	Ell	n/a
R-MMU-112381	Gtf2f1	n/a
R-MMU-112381	Gtf2f2	n/a
R-MMU-112381	Mllt1	n/a
R-MMU-112381	Mllt3	n/a
R-MMU-112381	Ncbp1	n/a
R-MMU-112381	Ncbp2	n/a
R-MMU-112381	Nelfa	n/a
R-MMU-112381	Nelfe	n/a
R-MMU-112381	Polr2a	n/a
R-MMU-112381	Polr2b	n/a
R-MMU-112381	Polr2c	n/a
R-MMU-112381	Polr2d	n/a
R-MMU-112381	Polr2e	n/a
R-MMU-112381	Polr2f	n/a
R-MMU-112381	Polr2g	n/a
R-MMU-112381	Polr2h	n/a
R-MMU-112381	Polr2i	n/a
R-MMU-112381	Polr2j	n/a
R-MMU-112381	Polr2k	n/a
R-MMU-112381	Polr2l	n/a
R-MMU-112381	Supt4a	n/a
R-MMU-112381	Supt5	n/a
R-MMU-112383	Ccnh	n/a
R-MMU-112383	Cdk7	n/a
R-MMU-112383	Ctdp1	n/a
R-MMU-112383	Ercc2	n/a
R-MMU-112383	Ercc3	n/a
